d	TYPE	BILLINGSTREET	BILLINGCITY	BILLINGSTATE	BILLINGPOSTALCODE	BILLINGCOUNTRY	SHIPPINGSTREET	SHIPPINGCITY	SHIPPINGSTATE	SHIPPINGPOSTALCODE	SHIPPINGCOUNTRY	PHONE	WEBSITE	INDUSTRY	OWNERSHIP	NUMBEROFEMPLOYEES	RATING	DESCRIPTION						
Test acc 536	Other	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Aiwo	TX	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	X	AU-VI	0	CA	767262	www.Test acc 536.com		Communications	Private	2	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5360	Prospect	1301 Hoch Drive	Ahmedabad	TX	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	x	AU-VI	0	MX	666666	www.Test acc 5360.com		Construction	Subsidiary	345	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5361	Customer - Direct	2 Place Jussieu	Ahmedabad	TX	0	AR	1301 Hoch Drive	X	AU-VI	0	MX	622511	www.Test acc 5361.com		Consulting	Other	1	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5362	Customer - Channel	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	AGUASCALIENTES	TX	0	MX	2 Place Jussieu	X	AU-VI	0	MX	598594	www.Test acc 5362.com		Education	Public	235	Warm	Commerical logistics and transportation company.					
Test acc 5363	Channel Partner / Reseller	"312 Constitution Place
Austin, TX 78767
USA"	AGUASCALIENTES	TX	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	X	AU-VI	0	MX	524252	www.Test acc 5363.com		Electronics	Private	23	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5364	Installation Partner	"345 Shoreline Park
Mountain View, CA 94043
USA"	AGUASCALIENTES	TX	0	MX	Test acc 2157	X	AU-VI	0	MX	498331	www.Test acc 5364.com		Energy	Subsidiary	45	Warm	World's third largest oil and gas company.					
Test acc 5365	Technology Partner	525 S. Lexington Ave	AGUASCALIENTES	TX	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	X	AU-VI	0	MX	378283	www.Test acc 5365.com		Engineering	Other	23	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5366	Other	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	ADDISON	TX	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	X	AU-WA	0	MX	187520	www.Test acc 5366.com		Entertainment	Public	45	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5367	Prospect	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	ACAPULCO	UK	0	MX	DHE010828K6A	X	AU-WA	0	MX	123123	www.Test acc 5367.com		Environmental	Private	234	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5368	Customer - Direct	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	Abridge	WA	0	MX	CES081007NE0	X	AU-WA	0	MX	98389	www.Test acc 5368.com		Finance	Subsidiary	52	Cold	Commerical logistics and transportation company.					
Test acc 5369	Customer - Channel	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	38-42 Kwai Fung Crescent 	 Kwai Chung	WA	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	X	BD-2	0	MX	89292	www.Test acc 5369.com		Food & Beverage	Other	436	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.
Test acc 537	Channel Partner / Reseller	The Landmark @ One Market	Zurich	WA	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	X	BD-3	0	US	80989	www.Test acc 537.com		Government	Public	3	Hot	World's third largest oil and gas company.					
Test acc 5370	Installation Partner	"1301 Avenue of the Americas 
New York, NY 10019
USA"	ZUMPANGO	WI	0	MX	1301 Hoch Drive	X	BD-3	0	US	69604	www.Test acc 5370.com		Healthcare	Private	456	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5371	Technology Partner	1301 Hoch Drive	Zhuhai	WI	0	MX	2 Place Jussieu	X	BD-3	0	US	46446	www.Test acc 5371.com		Hospitality	Subsidiary	457	Cold	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5372	Other	2 Place Jussieu	Zhejiang	WI	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	X	BD-3	0	US	44263	www.Test acc 5372.com		Insurance	Other	4	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5373	Prospect	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Zhaoyuan	AL	0	MX	Test acc 2157	X	BD-3	0	US	8850	www.Test acc 5373.com		Machinery	Public	6	Hot	Commerical logistics and transportation company.					
Test acc 5374	Customer - Direct	"312 Constitution Place
Austin, TX 78767
USA"	ZAPOPAN	AL	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	X	BD-3	0	US	7710	www.Test acc 5374.com		Manufacturing	Private	856	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5375	Customer - Channel	"345 Shoreline Park
Mountain View, CA 94043
USA"	ZAPOPAN	AL	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	X	BD-3	0	US	6300	www.Test acc 5375.com		Media	Subsidiary		Cold	World's third largest oil and gas company.					
Test acc 5376	Channel Partner / Reseller	525 S. Lexington Ave	ZAPOPAN	AR-B	0	MX	DHE010828K6A	X	BE-VBR	0	US	6026	www.Test acc 5376.com		Not For Profit	Other	34	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5377	Installation Partner	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	ZACATECAS	AT-5	0	MX	CES081007NE0	X	CA	0	US	(014) 427-4427	www.Test acc 5377.com		Recreation	Public	6	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5378	Technology Partner	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	Zaandam	AT-6	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	X	CA	0	US	(212) 842-5500	www.Test acc 5378.com		Retail	Private	34	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5379	Other	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	York	AU-NS	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	X	CA	0	US	(312) 596-1000	www.Test acc 5379.com		Shipping	Subsidiary	57	Warm	Commerical logistics and transportation company.					
Test acc 538	Prospect	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	YORK	AU-NS	0	MX	1301 Hoch Drive	X	CA	0	US	(336) 222-7000	www.Test acc 538.com		Technology	Other	675	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5380	Customer - Direct	The Landmark @ One Market	Yiwu	AU-NS	0	MX	2 Place Jussieu	X	CA	0	US	(415) 901-7000	www.Test acc 5380.com		Telecommunications	Public	8	Warm	World's third largest oil and gas company.					
Test acc 5381	Customer - Channel	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Yiwu	AU-NS	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	X	CA	0	US	(503) 421-7800	www.Test acc 5381.com		Transportation	Private	5134	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5382	Channel Partner / Reseller	1301 Hoch Drive	Yangjiang	AU-NS	0	MX	Test acc 2157	X	CA-ON	0	US	(512) 757-6000	www.Test acc 5382.com		Utilities	Subsidiary	3	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5383	Installation Partner	2 Place Jussieu	YANGA	AU-NS	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	Wujing City	CA-ON	0	US	(520) 773-9050	www.Test acc 5383.com		Other	Other	412	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5384	Technology Partner	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	XXXXX	AU-NS	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	Winston Salem	CA-ON	0	US	(650) 450-8810	www.Test acc 5384.com		Agriculture	Public	12341	Warm	Commerical logistics and transportation company.					
Test acc 5385	Other	"312 Constitution Place
Austin, TX 78767
USA"	XXXX	AU-NS	0	MX	DHE010828K6A	WILMINGTON	CA-ON	0	US	(650) 867-3450	www.Test acc 5385.com		Apparel	Private	1234	Cold	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5386	Prospect	"345 Shoreline Park
Mountain View, CA 94043
USA"	XXX	AU-NS	0	MX	CES081007NE0	Westlake	CH-VD	0	US	(785) 241-6200	www.Test acc 5386.com		Banking	Subsidiary	23412341	Hot	World's third largest oil and gas company.					
Test acc 5387	Customer - Direct	525 S. Lexington Ave	Xiamen	AU-QL	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	West Melbourne	CH-ZH	213172	CN	+44 191 4956203	www.Test acc 5387.com		Biotechnology	Other	23412	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5388	Customer - Channel	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	Xiamen	AU-QL	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	WEST ALTON	CN-FJ	27104	US	ZCA1001204KA	www.Test acc 5388.com		Chemicals	Public	234	Cold	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5389	Channel Partner / Reseller	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	x	AU-SA	0	MX	1301 Hoch Drive	Wenzhou	CN-FJ	1887	US	ZARA710510R37	www.Test acc 5389.com		Communications	Private	12341	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 539	Installation Partner	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	X	AU-TS	0	MX	2 Place Jussieu	Wenzhou	CN-FJ	44145	US	ZAMM6203256N0	www.Test acc 539.com		Construction	Subsidiary	234	Hot	Commerical logistics and transportation company.					
Test acc 5390	Technology Partner	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	X	AU-VI	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Weihai	CN-FJ	3003	AU	ZAAM911823MD5	www.Test acc 5390.com		Consulting	Other	45	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5391	Other	The Landmark @ One Market	X	AU-VI	0	MX	Test acc 2157	Weifang	CN-FJ	63386	US	YARM791119RC8	www.Test acc 5391.com		Education	Public	23	Cold	World's third largest oil and gas company.					
Test acc 5392	Prospect	"1301 Avenue of the Americas 
New York, NY 10019
USA"	X	AU-VI	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	Weifang	CN-GD	325000	CN	WOR980325DE2	www.Test acc 5392.com		Electronics	Private	345	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5393	Customer - Direct	1301 Hoch Drive	X	AU-VI	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	Waupaca	CN-GD	325011	CN	WOCK8001036H7	www.Test acc 5393.com		Energy	Subsidiary	1234	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5394	Customer - Channel	2 Place Jussieu	X	AU-VI	0	MX	DHE010828K6A	Warren	CN-GD	264200	CN	WME000218GK3	www.Test acc 5394.com		Engineering	Other	345	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5395	Channel Partner / Reseller	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	X	AU-VI	0	MX	CES081007NE0	WARREN	CN-GD	261031	CN	WIN0112032I0	www.Test acc 5395.com		Entertainment	Public	52	Cold	Commerical logistics and transportation company.					
Test acc 5396	Installation Partner	"312 Constitution Place
Austin, TX 78767
USA"	X	AU-VI	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	Warren	CN-GD	261041	CN	WDM0010313V3	www.Test acc 5396.com		Environmental	Private	35234	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5397	Technology Partner	"345 Shoreline Park
Mountain View, CA 94043
USA"	X	AU-VI	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Wanchai	CN-GD	54981	US	WCM081013DVA	www.Test acc 5397.com		Finance	Subsidiary	1234123	Warm	World's third largest oil and gas company.					
Test acc 5398	Other	525 S. Lexington Ave	X	AU-VI	0	MX	1301 Hoch Drive	Wanchai	CN-GD	15086	US	WAC0606074L3	www.Test acc 5398.com		Food & Beverage	Other	43	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5399	Prospect	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	X	AU-VI	0	MX	2 Place Jussieu	Wanchai	CN-GD	48092	US	VOHG610127LP3	www.Test acc 5399.com		Government	Public	45	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 54	Customer - Direct	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	X	AU-VI	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Wan Chai	CN-GD	48093	US	VMI940824FBA	www.Test acc 54.com		Healthcare	Private	23	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 540	Customer - Channel	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	X	AU-VI	0	MX	Test acc 2157	Wals/Salzburg	CN-GD	0	HK	VJL1110314U7	www.Test acc 540.com		Hospitality	Subsidiary	45	Warm	Commerical logistics and transportation company.					
Test acc 5400	Channel Partner / Reseller	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	X	AU-VI	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	VINCENNES	CN-GD	11111	HK	VIT051007PM2	www.Test acc 5400.com		Insurance	Other	234	Cold	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5401	Installation Partner	The Landmark @ One Market	X	AU-WA	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	VILLAHERMOSA	CN-GD	HKSAR	HK	VIMV661007QFA	www.Test acc 5401.com		Machinery	Public	5234	Warm	World's third largest oil and gas company.					
Test acc 5402	Technology Partner	"1301 Avenue of the Americas 
New York, NY 10019
USA"	X	AU-WA	0	MX	DHE010828K6A	Verl	CN-GD	HKSAR	HK	VEVR7501289H2	www.Test acc 5402.com		Manufacturing	Private	52345234	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5403	Other	1301 Hoch Drive	X	AU-WA	0	MX	CES081007NE0	VERACRUZ	CN-JS	5071	AT	VEVF841122GX5	www.Test acc 5403.com		Media	Subsidiary	64356	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5404	Prospect	2 Place Jussieu	X	AZ	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	VERACRUZ	CN-JS	47591	US	VERM751021EM9	www.Test acc 5404.com		Not For Profit	Other	35	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5405	Customer - Direct	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	X	BD-2	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	VERACRUZ	CN-JS	86280	MX	VEN071101A79	www.Test acc 5405.com		Recreation	Public	76457	Hot	Commerical logistics and transportation company.					
Test acc 5406	Customer - Channel	"312 Constitution Place
Austin, TX 78767
USA"	X	BD-3	0	MX	1301 Hoch Drive	VENUSTIANO CARRANZA	CN-JS	33415	DE	VEMD790520J8	www.Test acc 5406.com		Retail	Private	4567	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5407	Channel Partner / Reseller	"345 Shoreline Park
Mountain View, CA 94043
USA"	X	BD-3	0	MX	2 Place Jussieu	Vedene	CN-JS	0	MX	VELC530619G12	www.Test acc 5407.com		Shipping	Subsidiary	3456	Cold	World's third largest oil and gas company.					
Test acc 5408	Installation Partner	525 S. Lexington Ave	X	BD-3	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Vadnais Heights	CN-SD	91170	MX	VEL070119UA7	www.Test acc 5408.com		Technology	Other	56745	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5409	Technology Partner	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	X	BD-3	0	MX	Test acc 2157	Utrecht	CN-SD	91700	MX	VEHR440623IT7	www.Test acc 5409.com		Telecommunications	Public	456745	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 541	Other	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	X	BD-3	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	Tutlitlan	CN-SD	15850	MX	VEEG7107305E9	www.Test acc 541.com		Transportation	Private	456745	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5410	Prospect	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	X	BD-3	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	TULTITLAN	CN-SD	84275	FR	VEAC7707091J4	www.Test acc 5410.com		Utilities	Subsidiary	23	Cold	Commerical logistics and transportation company.					
Test acc 5411	Customer - Direct	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	X	BD-3	0	MX	DHE010828K6A	TULTITLAN	CN-SD	55110	US	VCO080523FK4	www.Test acc 5411.com		Other	Other	2345	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5412	Customer - Channel	The Landmark @ One Market	X	BE-VBR	0	MX	CES081007NE0	TULTEPEC	CN-SH	3521 EN	NL	VCE051014QN4	www.Test acc 5412.com		Apparel	Private	145000	Warm	World's third largest oil and gas company.					
Test acc 5413	Channel Partner / Reseller	"1301 Avenue of the Americas 
New York, NY 10019
USA"	X	CA	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	TULARE	CN-SH	54900	MX	VAU7912221E8	www.Test acc 5413.com		Consulting	Other	39000	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5414	Installation Partner	1301 Hoch Drive	X	CA	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	TULA DE ALLENDE	CN-SH	0	MX	VASY8511137N5	www.Test acc 5414.com		Electronics	Private	265	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5415	Technology Partner	2 Place Jussieu	Wujing City	CA	0	MX	1301 Hoch Drive	Tsuen Wan NT	CN-SH	54900	MX	VAMR431202565	www.Test acc 5415.com		Construction	Subsidiary	1000	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5416	Other	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Winston Salem	CA	0	MX	2 Place Jussieu	Tsuen Wan	CN-SH	54980	MX	VAMA700828JV3	www.Test acc 5416.com		Communications	Private	12300	Warm	Commerical logistics and transportation company.					
Test acc 5417	Prospect	"312 Constitution Place
Austin, TX 78767
USA"	WILMINGTON	CA	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Tsuen Wan	CN-SX	93291	US	VALL760329844	www.Test acc 5417.com		Banking	Subsidiary	5600	Cold	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5418	Customer - Direct	"345 Shoreline Park
Mountain View, CA 94043
USA"	Westlake	CA	0	MX	Test acc 2157	Tsuen Wan	CN-XJ	42808	MX	VAGO701205674	www.Test acc 5418.com		Agriculture	Public	2680	Hot	World's third largest oil and gas company.					
Test acc 5419	Customer - Channel	525 S. Lexington Ave	West Melbourne	CA	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	Tsimshatsui	 Kowloon	CN-ZJ	na	HK	VAFM2701318Y8	www.Test acc 5419.com		Biotechnology	Other	9000	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.
Test acc 542	Channel Partner / Reseller	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	WEST ALTON	CA	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	TROY	CN-ZJ	111111	HK	VACH640322NQ1	www.Test acc 542.com		Chemicals	Public	2342	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5420	Installation Partner	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	Wenzhou	CA-ON	0	MX	DHE010828K6A	TORRITA DI SIENA	CN-ZJ	HKSAR	HK	VABC610313NR2	www.Test acc 5420.com		Education	Public	3000	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5421	Technology Partner	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	Wenzhou	CA-ON	0	MX	CES081007NE0	TORREON	CN-ZJ	HKSAR	HK	UVA030310LF8	www.Test acc 5421.com		Energy	Subsidiary	120	Cold	Commerical logistics and transportation company.					
Test acc 5422	Other	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	Weihai	CA-ON	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	TORREON	CN-ZJ	na	HK	UTM931109I9A	www.Test acc 5422.com		Engineering	Other	24000	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5423	Prospect	The Landmark @ One Market	Weifang	CA-ON	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	TORREON	CN-ZJ	12180	US	UPN830920KC4	www.Test acc 5423.com		Entertainment	Public	234234	Warm	World's third largest oil and gas company.					
Test acc 5424	Customer - Direct	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Weifang	CH-VD	0	MX	1301 Hoch Drive	TOLUCA	CN-ZJ	53049	IT	UPLU750329244	www.Test acc 5424.com		Environmental	Private	2342	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5425	Customer - Channel	1301 Hoch Drive	Waupaca	CH-ZH	0	MX	2 Place Jussieu	TOLUCA	CN-ZJ	27010	MX	UNI9704247M21	www.Test acc 5425.com		Finance	Subsidiary	4	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5426	Channel Partner / Reseller	2 Place Jussieu	Warren	CN-FJ	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	TOLUCA	CN-ZJ	27100	MX	UNA621029N46	www.Test acc 5426.com		Food & Beverage	Other	234	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5427	Installation Partner	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	WARREN	CN-FJ	0	MX	Test acc 2157	TOLUCA	CN-ZJ	27278	MX	UME110712SYA	www.Test acc 5427.com		Government	Public	23	Warm	Commerical logistics and transportation company.					
Test acc 5428	Technology Partner	"312 Constitution Place
Austin, TX 78767
USA"	Warren	CN-FJ	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	TOLUCA	CN-ZJ	0	MX	UIM830519SJA	www.Test acc 5428.com		Healthcare	Private	45	Cold	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5429	Other	"345 Shoreline Park
Mountain View, CA 94043
USA"	Wanchai	CN-FJ	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	TOLUCA	CN-ZJ	50000	MX	UHP900402Q29	www.Test acc 5429.com		Hospitality	Subsidiary	234	Warm	World's third largest oil and gas company.					
Test acc 543	Prospect	525 S. Lexington Ave	Wanchai	CN-FJ	0	MX	DHE010828K6A	TLAXCALA	CN-ZJ	50200	MX	UES1211137X0	www.Test acc 543.com		Insurance	Other	52	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5430	Customer - Direct	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	Wanchai	CN-GD	0	MX	CES081007NE0	TLAXCALA	CN-ZJ	50220	MX	UDI121019FN2	www.Test acc 5430.com		Machinery	Public	345	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5431	Customer - Channel	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	Wan Chai	CN-GD	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	TLANETANTLA DE BAZ	CN-ZJ	50233	MX	UB2 5LJ	www.Test acc 5431.com		Manufacturing	Private	23	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
